razon_social,cuit,email_contacto,telefono_contacto,direccion,fecha_alta
Empresa Test 001 SA,30-60000001-7,contacto001@test.local,1140000001,Calle Ficticia 7 CABA,2023-01-02
Empresa Test 002 SA,30-60000002-4,contacto002@test.local,1140000002,Calle Ficticia 14 CABA,2023-01-03
Empresa Test 003 SA,30-60000003-1,contacto003@test.local,1140000003,Calle Ficticia 21 CABA,2023-01-04
Empresa Test 004 SA,30-60000004-8,contacto004@test.local,1140000004,Calle Ficticia 28 CABA,2023-01-05
Empresa Test 005 SA,30-60000005-5,contacto005@test.local,1140000005,Calle Ficticia 35 CABA,2023-01-06
Empresa Test 006 SA,30-60000006-2,contacto006@test.local,1140000006,Calle Ficticia 42 CABA,2023-01-07
Empresa Test 007 SA,30-60000007-9,contacto007@test.local,1140000007,Calle Ficticia 49 CABA,2023-01-08
Empresa Test 008 SA,30-60000008-6,contacto008@test.local,1140000008,Calle Ficticia 56 CABA,2023-01-09
Empresa Test 009 SA,30-60000009-3,contacto009@test.local,1140000009,Calle Ficticia 63 CABA,2023-01-10
Empresa Test 010 SA,30-60000010-0,contacto010@test.local,1140000010,Calle Ficticia 70 CABA,2023-01-11
Empresa Test 011 SA,30-60000011-7,contacto011@test.local,1140000011,Calle Ficticia 77 CABA,2023-01-12
Empresa Test 012 SA,30-60000012-4,contacto012@test.local,1140000012,Calle Ficticia 84 CABA,2023-01-13
Empresa Test 013 SA,30-60000013-1,contacto013@test.local,1140000013,Calle Ficticia 91 CABA,2023-01-14
Empresa Test 014 SA,30-60000014-8,contacto014@test.local,1140000014,Calle Ficticia 98 CABA,2023-01-15
Empresa Test 015 SA,30-60000015-5,contacto015@test.local,1140000015,Calle Ficticia 105 CABA,2023-01-16
Empresa Test 016 SA,30-60000016-2,contacto016@test.local,1140000016,Calle Ficticia 112 CABA,2023-01-17
Empresa Test 017 SA,30-60000017-9,contacto017@test.local,1140000017,Calle Ficticia 119 CABA,2023-01-18
Empresa Test 018 SA,30-60000018-6,contacto018@test.local,1140000018,Calle Ficticia 126 CABA,2023-01-19
Empresa Test 019 SA,30-60000019-3,contacto019@test.local,1140000019,Calle Ficticia 133 CABA,2023-01-20
Empresa Test 020 SA,30-60000020-0,contacto020@test.local,1140000020,Calle Ficticia 140 CABA,2023-01-21
Empresa Test 021 SA,30-60000021-7,contacto021@test.local,1140000021,Calle Ficticia 147 CABA,2023-01-22
Empresa Test 022 SA,30-60000022-4,contacto022@test.local,1140000022,Calle Ficticia 154 CABA,2023-01-23
Empresa Test 023 SA,30-60000023-1,contacto023@test.local,1140000023,Calle Ficticia 161 CABA,2023-01-24
Empresa Test 024 SA,30-60000024-8,contacto024@test.local,1140000024,Calle Ficticia 168 CABA,2023-01-25
Empresa Test 025 SA,30-60000025-5,contacto025@test.local,1140000025,Calle Ficticia 175 CABA,2023-01-26
Empresa Test 026 SA,30-60000026-2,contacto026@test.local,1140000026,Calle Ficticia 182 CABA,2023-01-27
Empresa Test 027 SA,30-60000027-9,contacto027@test.local,1140000027,Calle Ficticia 189 CABA,2023-01-28
Empresa Test 028 SA,30-60000028-6,contacto028@test.local,1140000028,Calle Ficticia 196 CABA,2023-01-29
Empresa Test 029 SA,30-60000029-3,contacto029@test.local,1140000029,Calle Ficticia 203 CABA,2023-01-30
Empresa Test 030 SA,30-60000030-0,contacto030@test.local,1140000030,Calle Ficticia 210 CABA,2023-01-31
Empresa Test 031 SA,30-60000031-7,contacto031@test.local,1140000031,Calle Ficticia 217 CABA,2023-02-01
Empresa Test 032 SA,30-60000032-4,contacto032@test.local,1140000032,Calle Ficticia 224 CABA,2023-02-02
Empresa Test 033 SA,30-60000033-1,contacto033@test.local,1140000033,Calle Ficticia 231 CABA,2023-02-03
Empresa Test 034 SA,30-60000034-8,contacto034@test.local,1140000034,Calle Ficticia 238 CABA,2023-02-04
Empresa Test 035 SA,30-60000035-5,contacto035@test.local,1140000035,Calle Ficticia 245 CABA,2023-02-05
Empresa Test 036 SA,30-60000036-2,contacto036@test.local,1140000036,Calle Ficticia 252 CABA,2023-02-06
Empresa Test 037 SA,30-60000037-9,contacto037@test.local,1140000037,Calle Ficticia 259 CABA,2023-02-07
